Entry_ID,Age,Hours_per_day,While_working,Instrumentalist,Composer,Fav_genre,Exploratory,Foreign_languages,BPM,Classical,Country,EDM,Folk,Gospel,Hip hop,Jazz,K_pop,Latin,Lofi,Metal,Pop,R_and_B,Rap,Rock,Video game music,Anxiety,Depression,Insomnia,OCD,Music_effects
550,17.0,6.0,Yes,No,Yes,Rap,Yes,No,140.0,Rarely,Never,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Very frequently,Rarely,Never,3.0,3.0,0.0,0.0,Improve
551,34.0,3.0,Yes,No,No,Classical,No,Yes,95.0,Very frequently,Never,Never,Never,Never,Never,Rarely,Never,Never,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,0.0,0.0,0.0,0.0,No effect
552,18.0,3.0,Yes,No,No,Pop,No,No,150.0,Rarely,Rarely,Sometimes,Rarely,Never,Very frequently,Rarely,Rarely,Never,Rarely,Rarely,Very frequently,Rarely,Very frequently,Rarely,Sometimes,5.0,4.0,2.0,0.0,No effect
553,18.0,2.0,Yes,No,No,R&B,Yes,No,97.0,Never,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Rarely,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,2.0,4.0,0.0,0.0,Improve
556,19.0,3.0,Yes,No,No,Rock,Yes,Yes,122.0,Sometimes,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Very frequently,Never,4.0,0.0,7.0,0.0,No effect
557,25.0,4.0,Yes,No,No,Pop,Yes,Yes,150.0,Rarely,Never,Sometimes,Never,Never,Very frequently,Never,Rarely,Rarely,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Rarely,10.0,8.0,6.0,2.0,No effect
559,25.0,5.0,Yes,Yes,No,Rock,Yes,No,125.0,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Never,Rarely,Never,Rarely,Sometimes,Sometimes,Never,Sometimes,Very frequently,Sometimes,8.0,7.0,2.0,1.0,Improve
560,18.0,2.0,Yes,No,No,R&B,No,No,96.0,Sometimes,Rarely,Never,Never,Never,Sometimes,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,3.0,3.0,0.0,3.0,Improve
562,24.0,7.0,Yes,No,No,Folk,Yes,Yes,137.0,Sometimes,Rarely,Rarely,Very frequently,Never,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Very frequently,Rarely,Rarely,Very frequently,Very frequently,10.0,10.0,8.0,10.0,Improve
563,16.0,3.0,Yes,Yes,No,K pop,No,Yes,174.0,Rarely,Never,Sometimes,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Sometimes,Never,Very frequently,Rarely,Sometimes,Never,Never,10.0,2.0,7.0,8.0,Improve
564,18.0,3.0,No,Yes,Yes,Metal,Yes,No,210.0,Never,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Rarely,Never,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Rarely,9.0,6.0,8.0,5.0,Improve
565,18.0,4.0,Yes,No,No,R&B,Yes,Yes,129.0,Rarely,Rarely,Rarely,Never,Never,Very frequently,Sometimes,Never,Never,Rarely,Never,Very frequently,Very frequently,Very frequently,Very frequently,Rarely,6.0,4.0,1.0,6.0,Improve
566,16.0,3.0,Yes,No,No,Pop,Yes,No,112.0,Very frequently,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Very frequently,Very frequently,Never,Sometimes,Never,3.0,4.0,6.0,8.0,Improve
567,68.0,1.0,Yes,No,No,Gospel,No,No,8.0,Very frequently,Never,Never,Sometimes,Very frequently,Never,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,10.0,10.0,10.0,0.0,Improve
568,16.0,7.0,Yes,No,No,Video game music,Yes,No,999999999.0,Never,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Never,Never,Never,Very frequently,Sometimes,Never,Very frequently,Rarely,Sometimes,4.0,8.0,8.0,4.0,No effect
569,21.0,1.0,No,No,No,R&B,Yes,Yes,81.0,Never,Never,Never,Never,Rarely,Very frequently,Never,Never,Never,Never,Never,Very frequently,Very frequently,Sometimes,Never,Never,3.0,0.0,0.0,0.0,Improve
570,53.0,4.0,Yes,No,No,R&B,Yes,Yes,153.0,Rarely,Sometimes,Rarely,Rarely,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,1.0,0.0,0.0,0.0,Improve
571,29.0,4.0,Yes,No,No,Classical,Yes,No,120.0,Very frequently,Never,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Sometimes,Never,Never,Rarely,Rarely,5.0,6.0,7.0,7.0,No effect
574,18.0,4.0,Yes,Yes,No,R&B,Yes,Yes,169.0,Rarely,Sometimes,Very frequently,Never,Rarely,Very frequently,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,3.0,0.0,3.0,4.0,Improve
575,22.0,5.0,Yes,No,No,EDM,Yes,Yes,138.0,Never,Never,Very frequently,Never,Never,Very frequently,Never,Never,Never,Very frequently,Never,Very frequently,Very frequently,Very frequently,Very frequently,Sometimes,1.0,0.0,0.0,1.0,No effect
576,19.0,6.0,Yes,No,No,Pop,No,No,124.0,Sometimes,Rarely,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,6.0,6.0,0.0,0.0,Improve
578,26.0,1.0,No,No,No,Pop,No,No,192.0,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Never,Very frequently,Rarely,Rarely,Sometimes,Never,6.0,4.0,0.0,0.0,Improve
579,14.0,3.0,Yes,No,No,Rock,Yes,No,76.0,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,2.0,6.0,3.0,0.0,Worsen
580,27.0,1.0,Yes,No,No,Pop,Yes,Yes,119.0,Rarely,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Very frequently,Never,Sometimes,Never,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,8.0,3.0,3.0,3.0,Improve
581,26.0,8.0,No,No,No,Rock,No,Yes,172.0,Never,Sometimes,Sometimes,Very frequently,Never,Very frequently,Rarely,Very frequently,Never,Never,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Very frequently,8.0,10.0,7.0,3.0,No effect
582,59.0,1.0,No,Yes,No,Rock,No,No,79.0,Rarely,Never,Never,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Never,Rarely,Rarely,Never,Very frequently,Never,1.0,0.0,0.0,1.0,Improve
583,30.0,8.0,Yes,Yes,Yes,Rock,Yes,No,112.0,Sometimes,Sometimes,Never,Rarely,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Very frequently,Never,8.0,6.0,6.0,8.0,Improve
584,27.0,1.0,Yes,No,No,Pop,Yes,Yes,130.0,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,Sometimes,Sometimes,Never,6.0,3.0,1.0,7.0,Improve
585,18.0,1.0,No,Yes,No,Rap,Yes,Yes,116.0,Rarely,Never,Never,Never,Never,Sometimes,Never,Never,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Never,Sometimes,2.0,0.0,3.0,0.0,Improve
586,23.0,10.0,Yes,Yes,Yes,Metal,No,Yes,165.0,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Very frequently,Never,Never,Never,Sometimes,Never,0.0,0.0,0.0,0.0,No effect
587,18.0,10.0,Yes,Yes,Yes,Rock,Yes,No,110.0,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Sometimes,Sometimes,Very frequently,Never,10.0,10.0,6.0,6.0,Improve
